"","are","model","correlation","pval","r2","lambda"
"corStruct","cARE","free.lambda",0.687618035836947,0.60221571537499,0.368374990621461,0.959537383261466
"1","aARE","free.lambda",0.380995629660494,0.0570903597080727,0.117539968400876,1
"11","aSRE","fix.lambda",0.345198128834762,0.431117148825794,0.105376506275386,0.851052657287702
"12","cSRE","free.lambda",-0.1852804956594,1.14864578382882e-122,0.0991934902317257,1
"13","c3","fix.lambda",0.132775384010729,0.612106221300661,0.000340919666865669,0.999933893038648
"14","ccnd1","free.lambda",0.417150812352796,4.21318750993969e-08,0.174014800074257,0
"15","hk2","fix.lambda",0.49220512137579,0.0473486513548247,0.227778339583286,0.138681910369827
"16","hklk","free.lambda",0.589396647341882,1.88326073683494e-24,0.347388406530217,0
"17","mvdp","free.lambda",-0.20236147744953,0.631246708106056,0.040950167271347,0
"18","p21","fix.lambda",-0.0226759946580129,0.644526847500307,0.00276123290164743,0.280930372835784
"19","pb2","fix.lambda",0.354833985301505,0.454866928294753,0.0762042827548243,0.903292064072167
"110","pem1","fix.lambda",0.182615359265692,0.935107974676111,0.0977217900569203,0.999933893038648
"111","pem2","fix.lambda",0.639280507692719,0.199659016969619,0.337762142922764,0.803851461036476
"112","psa1","fix.lambda",0.0370185138633932,0.643232723899377,0.0240051773003123,0.999933893038648
"113","psa3","free.lambda",0.422214217974327,9.52313961556315e-113,0.151823176070407,1
"114","sc12","fix.lambda",0.624112607540253,0.540068464079833,0.234601480828825,0.901692524451781
"115","slp2","fix.lambda",-0.234149651298903,0.35493145785414,0.125560433646533,0.979581803682702
"116","slp3","fix.lambda",0.402919686769888,0.912354732452073,0.0975760524013339,0.891036198274537
"117","HRE","free.lambda",0.49383809676881,1.13867762197199e-18,0.243876065944065,0
