"","are","model","correlation","pval","r2","lambda"
"1","Canine","fix.lambda",0.641482533144008,0.0007854515700352,0.395418781451819,0.829760847755794
"2","cARE","fix.lambda",0.252889117398609,0.510962007235764,0.0479918371831138,0.948430434189122
"3","aARE","fix.lambda",-0.242281275666717,0.0202354121778392,0.0355205955251217,0.950875689376706
"4","aSRE","fix.lambda",0.118216446335368,0.895876511491981,0.00115626825225168,0.86192333995393
"5","cSRE","fix.lambda",-0.145511144047717,0.230306815901324,0.0217755138267673,0.866598914062198
"6","c3","fix.lambda",-0.0523906782597111,0.193124588051288,0.00426782704535,0.999933893038648
"7","ccnd1","fix.lambda",-0.00703708436367325,0.691579047618082,5.65553109267425e-05,0.253922873488045
"8","hk2","fix.lambda",0.115295200913667,0.914771072251517,0.0133684222379822,0.563675977873478
"9","hklk","fix.lambda",0.407178355950268,0.153362026938352,0.179406429980614,0.543554066292223
"corStruct","mvdp","free.lambda",-0.0763323516847873,0.912614708353727,0.0107537102150845,-0.346350732249452
"11","p21","fix.lambda",-0.135130514683465,0.312227140732657,0.0313193591583949,0.330471444871071
"12","pb2","fix.lambda",-0.0143929866311222,0.591387005194132,0.0176898829126618,0.907693976031695
"13","pem1","fix.lambda",-0.191478152164418,0.240172419195638,0.0115944972020307,0.999933893038648
"14","pem2","fix.lambda",0.247102625245049,0.656317234055429,0.0325923972033522,0.920485592144656
"15","psa1","fix.lambda",-0.000936634221477588,0.180633091802556,0.000863723491941859,0.986974351215987
"16","psa3","free.lambda",0.0699165392764449,1.49650751950205e-131,0.00751105252148221,1
"17","sc12","fix.lambda",0.290150883527853,0.605201950457515,0.0429669210165556,0.964183865474606
"18","slp2","fix.lambda",-0.035751735425448,0.576214739838746,0.00436711093198461,0.981598810985865
"19","slp3","fix.lambda",0.0714398739856063,0.403409718905156,2.19485384198581e-05,0.884670712807441
"110","HRE","fix.lambda",0.0279192393122411,0.654292643055638,0.00105286171577512,0.501210508214379
