"","are","model","correlation","pval","r2","lambda"
"1","Mass","no.lambda",0.248318743123089,0.253250277719973,0.0616621986437316,0
"2","Canine","fix.lambda",0.366240540421281,0.981382326074828,0.0997705452736807,0.854604968768324
"3","cARE","fix.lambda",0.262586177545631,0.8000107246288,0.0723338968744834,0.975106918156924
"4","aARE","fix.lambda",0.32390015249262,0.158854074987631,0.0880838949269008,0.998899958074591
"5","aSRE","fix.lambda",0.198509434661882,0.839300792377344,0.0161926608564402,0.830429877705322
"6","cSRE","fix.lambda",-0.277907406683307,0.506571361851225,0.0525167108379846,0.829715452551003
"7","c3","fix.lambda",0.0804995398190209,0.402993593415493,0.019067695674906,0.999933893038648
"8","ccnd1","fix.lambda",0.255109206464504,0.396658614826276,0.0552072731655596,0.0971681542434311
"9","hk2","fix.lambda",0.211282773147937,0.985579928291121,0.0351004120084621,0.529857623614678
"10","hklk","fix.lambda",0.624041010898455,0.00593671380831915,0.377801220463344,0.224145447993577
"11","mvdp","no.lambda",-0.196245848788753,0.369479862823722,0.0385124330578376,0
"12","p21","fix.lambda",0.384387588734658,0.0857485776867818,0.112902081022541,0.266122071567685
"13","pb2","fix.lambda",0.0727955862357158,0.90892592789642,3.6048636476993e-06,0.902310072829476
"14","pem1","fix.lambda",0.197484761853763,0.786711070459425,0.0187379016843747,0.999933893038648
"15","pem2","fix.lambda",0.120285135083427,0.462841686663736,0.0136797035642815,0.917084661146958
"16","psa1","fix.lambda",0.121329313200331,0.655005438289908,4.80233462415436e-05,0.994867199267258
"17","psa3","free.lambda",0.283708805899423,3.66991465743131e-88,0.0680003962781861,1
"18","sc12","fix.lambda",0.477149244271733,0.297206488372429,0.184497154488844,0.927671558572346
"19","slp2","fix.lambda",-0.129886254439895,0.816881658791437,0.00786466184823142,0.98657461336181
"20","slp3","fix.lambda",0.203778842527812,0.667339167833907,0.0428447249981033,0.859798141335078
"21","HRE","free.lambda",0.278708711394099,1.47585531552684e-100,0.06955835088813,1
