organ,measure,gene,model,correlation,pval,r2,lambda,fdr
brain,rpkm,CLVS2,free.lambda,-0.219029563,5.61E-19,0.993956926,1,3.59E-17
brain,rpkm,TNNT2,free.lambda,-0.996615228,8.62E-11,0.999999529,0,2.76E-09
brain,rpkm,SUPT3H,free.lambda,-0.95347454,1.17E-07,0.999967377,0,2.49E-06
brain,rpkm,BST1,free.lambda,0.09396231,4.51E-07,0.999901442,1,5.36E-06
brain,rpkm,CHADL,free.lambda,0.296619981,5.02E-07,0.999854187,0,5.36E-06
brain,rpkm,ESRRG,free.lambda,-0.742496606,4.61E-07,0.999815565,0,5.36E-06
brain,rpkm,NTNG2,free.lambda,0.267639571,6.52E-07,0.999870912,0,5.97E-06
brain,rpkm,TMEM273,free.lambda,0.315792009,1.02E-06,0.999811981,0,8.14E-06
brain,rpkm,RESP18,free.lambda,0.237745312,1.19E-06,0.999881874,1,8.44E-06
brain,rpkm,PLEKHM3,free.lambda,-0.307040562,2.25E-06,0.999800395,0,1.44E-05
brain,rpkm,LAPTM5,free.lambda,-0.221938316,7.28E-06,0.999553049,0,4.22E-05
brain,rpkm,SCAND1,free.lambda,-0.556931505,7.91E-06,0.999834802,0,4.22E-05
brain,rpkm,TNFRSF17,free.lambda,0.999838505,1.03E-05,0.999994874,1,5.07E-05
brain,rpkm,RPS29,fix.lambda,-0.994031718,0.002374456,0.95117679,0.999933893,0.010854657
brain,rpkm,FAM151B,no.lambda,0.963644614,0.008275693,0.928610942,0,0.035309625
brain,rpkm,EGR2,no.lambda,-0.947965036,0.014137013,0.898637707,0,0.056548051
brain,rpkm,TRAF3IP1,no.lambda,0.936084031,0.01921055,0.87625331,0,0.072322071
brain,rpkm,CD38,no.lambda,-0.853404366,0.065876025,0.728299012,0,0.234225866
brain,rpkm,KLK5,no.lambda,0.796256128,0.106959993,0.634023821,0,0.311156342
brain,rpkm,NKD2,no.lambda,0.799556557,0.104426972,0.639290686,0,0.311156342
brain,rpkm,SLC36A4,no.lambda,0.813221632,0.094138162,0.661329424,0,0.311156342
brain,rpkm,SLC7A2,no.lambda,-0.802279557,0.10235101,0.643652484,0,0.311156342
brain,rpkm,ITGB2,free.lambda,0.708719755,0.16802845,0.863995393,0,0.454167496
brain,rpkm,KANK3,free.lambda,0.135503889,0.178380825,0.802219588,0,0.454167496
brain,rpkm,NEURL1B,no.lambda,0.712389562,0.176951796,0.507498888,0,0.454167496
brain,rpkm,SLC39A10,free.lambda,-0.112738535,0.184505545,0.900373407,0,0.454167496
brain,rpkm,ANP32B,no.lambda,0.650889941,0.234214158,0.423657716,0,0.524710019
brain,rpkm,FOLR1,free.lambda,-0.407116041,0.228325578,0.786285439,1,0.524710019
brain,rpkm,HCLS1,no.lambda,-0.607796711,0.276844538,0.369416841,0,0.524710019
brain,rpkm,IFIT3,no.lambda,0.635710166,0.249011147,0.404127412,0,0.524710019
brain,rpkm,MAPK7,no.lambda,-0.606848868,0.277803312,0.368265546,0,0.524710019
brain,rpkm,RENBP,no.lambda,0.620579825,0.264000423,0.385119327,0,0.524710019
brain,rpkm,SLC15A3,no.lambda,0.624295191,0.260297976,0.389744487,0,0.524710019
brain,rpkm,TRPV1,no.lambda,-0.605911643,0.278752198,0.367128924,0,0.524710019
brain,rpkm,TGFB1,free.lambda,-0.125740733,0.289134051,0.817938597,0,0.528702265
brain,rpkm,PTH1R,no.lambda,0.574756234,0.31076778,0.330344728,0,0.552476054
brain,rpkm,FCER1G,no.lambda,0.559045627,0.327245909,0.312532008,0,0.566046977
brain,rpkm,ZNF483,no.lambda,0.549986287,0.336844709,0.302484918,0,0.567317405
brain,rpkm,SLC27A3,no.lambda,-0.53482183,0.353065379,0.286034392,0,0.579389339
brain,rpkm,GRP,free.lambda,-0.415060362,0.376072235,0.759880991,0,0.601715577
brain,rpkm,AP4S1,no.lambda,-0.491852596,0.400010246,0.24191897,0,0.624406238
brain,rpkm,CCDC154,no.lambda,-0.465240775,0.429760337,0.216448978,0,0.654872895
