"","gene","model","correlation","pval","r2","lambda","fdr","Measure","Organ"
"22","GRP","free.lambda",-0.952118506019578,4.33674486594605e-22,0.999310346483821,1,2.77551671420547e-20,"FoldChange","Brain"
"62","WFDC5","free.lambda",-0.984646527998768,1.71054608669789e-21,0.999454986786133,1,5.47374747743325e-20,"FoldChange","Brain"
"13","CLVS2","free.lambda",-0.750199397716487,1.9980823903827e-20,0.994517409604904,1,4.26257576614976e-19,"FoldChange","Brain"
"63","ZNF444","free.lambda",-0.829049757722666,7.13900591253495e-19,0.991837656037146,1,1.14224094600559e-17,"FoldChange","Brain"
"3","AP4S1","free.lambda",-0.70028330021144,8.76518394601005e-07,0.999892463825614,0,1.02465494167336e-05,"FoldChange","Brain"
"52","SUPT3H","free.lambda",0.0580080627703337,9.60614007818778e-07,0.999963821617406,0,1.02465494167336e-05,"FoldChange","Brain"
"50","SLC7A2","free.lambda",-0.615705264991864,4.28102252023786e-06,0.999966963272606,0,3.9140777327889e-05,"FoldChange","Brain"
"2","ANP32B","fix.lambda",0.861631776311168,0.0604870974104671,0.668660179029125,0.999933893038648,0.483896779283737,"FoldChange","Brain"
"1","ANO3","free.lambda",-0.319676467058771,0.282381549055084,0.82897646344758,0,0.77711254944882,"FoldChange","Brain"
"5","B4GALT6","free.lambda",-0.0773491488896023,0.206695515472861,0.872523348964576,0,0.77711254944882,"FoldChange","Brain"
"6","BST1","free.lambda",-0.0958724998000764,0.308288779976116,0.989967072201625,0,0.77711254944882,"FoldChange","Brain"
"8","CD38","no.lambda",-0.777586896334182,0.121626124468613,0.604641381279415,0,0.77711254944882,"FoldChange","Brain"
"10","CD5L","no.lambda",0.576486682066179,0.30896613228369,0.332336887868517,0,0.77711254944882,"FoldChange","Brain"
"15","ESRRG","free.lambda",0.447390994667168,0.183036766029023,0.956118300988855,0,0.77711254944882,"FoldChange","Brain"
"19","GABRB2","free.lambda",-0.38959700896384,0.219375689409841,0.884071622041337,0,0.77711254944882,"FoldChange","Brain"
"20","GCC2","free.lambda",-0.303937670722479,0.239963274998961,0.891063117157902,0,0.77711254944882,"FoldChange","Brain"
"28","KLK5","no.lambda",0.664587373502116,0.221077782868734,0.441676371094583,0,0.77711254944882,"FoldChange","Brain"
"29","LAPTM5","free.lambda",-0.555942385451464,0.173951231096484,0.999491241822228,0,0.77711254944882,"FoldChange","Brain"
"31","MFSD2A","free.lambda",0.0273637083538174,0.293564387920854,0.980987901442187,0,0.77711254944882,"FoldChange","Brain"
"37","OXR1","no.lambda",-0.589995691233134,0.294994659525112,0.348094916924914,0,0.77711254944882,"FoldChange","Brain"
"38","PLEKHM3","free.lambda",-0.291455904424744,0.214543313694159,0.977962704853477,0,0.77711254944882,"FoldChange","Brain"
"40","RENBP","free.lambda",0.286629117192257,0.284198549698825,0.831255551280147,0,0.77711254944882,"FoldChange","Brain"
"41","RESP18","free.lambda",0.0789507938835314,0.315701973213583,0.997145071070255,0,0.77711254944882,"FoldChange","Brain"
"54","THNSL2","free.lambda",0.54980356008779,0.172317613078382,0.923752778244677,0,0.77711254944882,"FoldChange","Brain"
"58","TNNT2","no.lambda",-0.68731801791424,0.199751001636355,0.472406056515608,0,0.77711254944882,"FoldChange","Brain"
"59","TRAF3IP1","no.lambda",0.57960029106404,0.305731182225124,0.335936494383008,0,0.77711254944882,"FoldChange","Brain"
"30","MAPK7","no.lambda",-0.500696493478353,0.390234404428601,0.250696977653259,0,0.925000069756683,"FoldChange","Brain"
"27","KCNG1","free.lambda",-0.810820751541687,0.434648621044363,0.985825062619972,0,0.993482562387115,"FoldChange","Brain"
"4","ATXN7L2","no.lambda",0.0138610156048444,0.982352167005778,0.000192127861091462,0,0.99742125504677,"FoldChange","Brain"
"7","CCDC154","no.lambda",-0.1537700396695,0.804988228015908,0.0236452261657619,0,0.99742125504677,"FoldChange","Brain"
"9","CD44","no.lambda",0.282297346639578,0.645400584710878,0.0796917884453011,0,0.99742125504677,"FoldChange","Brain"
"11","CHADL","no.lambda",-0.0355547277090938,0.954739861428785,0.0012641382667492,0,0.99742125504677,"FoldChange","Brain"
"12","CHM","no.lambda",0.202954889213453,0.743374945071552,0.0411906887568012,0,0.99742125504677,"FoldChange","Brain"
"14","EGR2","no.lambda",0.0822685526141222,0.895370701969401,0.00676811488766449,0,0.99742125504677,"FoldChange","Brain"
"16","FAM151B","no.lambda",-0.0560667642247921,0.928651005826991,0.0031434812385881,0,0.99742125504677,"FoldChange","Brain"
"17","FCER1G","no.lambda",-0.144749442176135,0.816344924564389,0.0209523987114184,0,0.99742125504677,"FoldChange","Brain"
"18","FOLR1","no.lambda",0.0861539964817581,0.890441182081771,0.00742251054026677,0,0.99742125504677,"FoldChange","Brain"
"21","GPSM1","no.lambda",-0.003616186770021,0.995395732743782,1.30768368292733e-05,0,0.99742125504677,"FoldChange","Brain"
"23","HCLS1","no.lambda",0.211477537250341,0.732759148450991,0.0447227459077719,0,0.99742125504677,"FoldChange","Brain"
"24","IFIT3","no.lambda",-0.396890502173422,0.508262870271983,0.157522064666611,0,0.99742125504677,"FoldChange","Brain"
"25","ITGB2","no.lambda",-0.331474135263285,0.585815419088702,0.10987509720994,0,0.99742125504677,"FoldChange","Brain"
"26","KANK3","no.lambda",0.0717977783093497,0.908662828670185,0.00515492117180583,0,0.99742125504677,"FoldChange","Brain"
"32","MVD","no.lambda",-0.41299202931954,0.489518127030435,0.170562410548955,0,0.99742125504677,"FoldChange","Brain"
"33","NES","free.lambda",-0.684693130095433,0.757587097216555,0.965000648429608,0,0.99742125504677,"FoldChange","Brain"
"34","NEURL1B","no.lambda",-0.00556388404978488,0.992915872062881,3.09568694617512e-05,0,0.99742125504677,"FoldChange","Brain"
"35","NKD2","no.lambda",0.0874568284110235,0.888788626912023,0.00764869621839515,0,0.99742125504677,"FoldChange","Brain"
"36","NTNG2","no.lambda",0.0763272822910414,0.902911526793483,0.00582585449447348,0,0.99742125504677,"FoldChange","Brain"
"39","PTH1R","no.lambda",0.205318307125924,0.740429116314223,0.0421556085627237,0,0.99742125504677,"FoldChange","Brain"
"42","RPS29","no.lambda",-0.121372221522831,0.845844346322682,0.0147312164307757,0,0.99742125504677,"FoldChange","Brain"
"43","SCAND1","no.lambda",-0.186591538652769,0.763810149712631,0.0348164034691035,0,0.99742125504677,"FoldChange","Brain"
"44","SH3TC2","no.lambda",-0.327424874231938,0.590683259650852,0.107207048329611,0,0.99742125504677,"FoldChange","Brain"
"45","SLC15A3","no.lambda",-0.269249908129268,0.661368777922273,0.0724955092087842,0,0.99742125504677,"FoldChange","Brain"
"46","SLC24A2","no.lambda",0.085973459661732,0.890670188087775,0.00739143624472949,0,0.99742125504677,"FoldChange","Brain"
"47","SLC27A3","no.lambda",-0.138179659184298,0.824625676154212,0.0190936197954581,0,0.99742125504677,"FoldChange","Brain"
"48","SLC36A4","no.lambda",-0.0268324533182226,0.965839961967451,0.000719980442062118,0,0.99742125504677,"FoldChange","Brain"
"49","SLC39A10","no.lambda",-0.33122626585507,0.586113184884885,0.109710835476081,0,0.99742125504677,"FoldChange","Brain"
"51","SLCO4A1","no.lambda",0.307686815820872,0.614513252844622,0.0946711762778488,0,0.99742125504677,"FoldChange","Brain"
"53","TGFB1","no.lambda",-0.131980757661232,0.83244601193596,0.0174189216275658,0,0.99742125504677,"FoldChange","Brain"
"55","TMEM176B","no.lambda",-0.00202535244482633,0.99742125504677,4.10201400369292e-06,0,0.99742125504677,"FoldChange","Brain"
"56","TMEM273","no.lambda",0.239766958227977,0.697669988472397,0.0574881947833902,0,0.99742125504677,"FoldChange","Brain"
"57","TNFRSF17","no.lambda",0.157441087091342,0.800371051981404,0.024787694552224,0,0.99742125504677,"FoldChange","Brain"
"60","TREM2","no.lambda",0.410558998985041,0.49234113442666,0.168558685233827,0,0.99742125504677,"FoldChange","Brain"
"61","TRPV1","no.lambda",-0.418699466353891,0.482909324601387,0.175309244364426,0,0.99742125504677,"FoldChange","Brain"
"64","ZNF483","no.lambda",0.154526037799558,0.80403716558914,0.0238782975670295,0,0.99742125504677,"FoldChange","Brain"
"131","CLVS2","free.lambda",-0.757949269346992,5.08011758953482e-20,0.995613391063378,1,1.63730438175329e-18,"RPKM","Brain"
"631","ZNF444","free.lambda",-0.829161113695131,5.11657619297902e-20,0.995477532386283,1,1.63730438175329e-18,"RPKM","Brain"
"551","TMEM176B","free.lambda",-0.602035651835859,9.62469524928536e-19,0.99226483177153,1,2.05326831984754e-17,"RPKM","Brain"
"271","KCNG1","free.lambda",-0.292628055715881,1.7107572190109e-15,0.995879927558846,1,2.73721155041743e-14,"RPKM","Brain"
"621","WFDC5","free.lambda",0.129527011150297,2.60612622596075e-13,0.995056882315648,1,3.33584156922976e-12,"RPKM","Brain"
"581","TNNT2","free.lambda",-0.996615227911067,1.5247650857523e-09,0.999997377464999,0,1.62641609146912e-08,"RPKM","Brain"
"521","SUPT3H","free.lambda",-0.953474539245066,2.27439806934785e-08,0.999981650693898,0,2.07944966340375e-07,"RPKM","Brain"
"171","FCER1G","free.lambda",0.55904562383037,4.52227541762885e-07,0.999825729990392,0,3.61782033410308e-06,"RPKM","Brain"
"71","CCDC154","free.lambda",-0.465240775128643,5.4754743894368e-07,0.999827771229606,0,3.89367067693284e-06,"RPKM","Brain"
"501","SLC7A2","free.lambda",-0.802279557262125,6.17293478235306e-07,0.999841503116208,0,3.95067826070596e-06,"RPKM","Brain"
"81","CD38","free.lambda",-0.59170772852101,1.32015753907087e-06,0.999945913898748,1,7.68091659095776e-06,"RPKM","Brain"
"511","SLCO4A1","free.lambda",0.274069733603763,1.49094079861079e-06,0.999890758657329,0,7.95168425925756e-06,"RPKM","Brain"
"310","AP4S1","free.lambda",-0.491852586770579,2.67632092022967e-06,0.999862023543511,0,1.31757337611307e-05,"RPKM","Brain"
"371","OXR1","free.lambda",-0.458186366431567,3.64990144348343e-06,0.999880648064246,0,1.66852637416385e-05,"RPKM","Brain"
"571","TNFRSF17","fix.lambda",0.999486943480929,1.39491656213744e-05,0.998639084211404,0.999933893038648,5.95164399845307e-05,"RPKM","Brain"
"211","GPSM1","free.lambda",-0.426439346625333,0.00014099057056545,0.999804844048563,0,0.000563962282261798,"RPKM","Brain"
"111","CHADL","free.lambda",0.296619981226019,0.00045886502492548,0.999900480992191,0,0.00172749185854298,"RPKM","Brain"
