,Species,Gene,Chromosome,HREloc,GeneDirection,GeneStart,GeneStop,Distance,Proxy,HRE_direct,HRE,Info
29,Homo_sapiens,LRRC47,1,3773440,-,3796498,3778559,5119,Down,asref,asre,"ID=gene-LRRC47;Dbxref=GeneID:57470,HGNC:HGNC:29207,MIM:619154;Name=LRRC47;description=leucine rich repeat containing 47;gbkey=Gene;gene=LRRC47;gene_biotype=protein_coding"
1,Homo_sapiens,CA6,1,8926656,+,8945868,8975092,19212,Up,hk2r,hk2,"ID=gene-CA6;Dbxref=GeneID:765,HGNC:HGNC:1380,MIM:114780;Name=CA6;description=carbonic anhydrase 6;gbkey=Gene;gene=CA6;gene_biotype=protein_coding;gene_synonym=CA-VI,GUSTIN"
2,Homo_sapiens,PDPN,1,13569299,+,13583757,13617957,14458,Up,pb2r,pb2,"ID=gene-PDPN;Dbxref=GeneID:10630,HGNC:HGNC:29602,MIM:608863;Name=PDPN;description=podoplanin;gbkey=Gene;gene=PDPN;gene_biotype=protein_coding;gene_synonym=AGGRUS,D2-40,GP36,Gp38,GP40,HT1A-1,OTS8,PA2.26,T1A,T1A-2,T1A2,TI1A"
3,Homo_sapiens,PITHD1,1,23776245,+,23778417,23788232,2172,Up,pem2f,pem2,"ID=gene-PITHD1;Dbxref=GeneID:57095,HGNC:HGNC:25022,MIM:618784;Name=PITHD1;description=PITH domain containing 1;gbkey=Gene;gene=PITHD1;gene_biotype=protein_coding;gene_synonym=C1orf128,HT014,TXNL1CL"
4,Homo_sapiens,MAN1C1,1,25597530,+,25616791,25784450,19261,Up,pem2f,pem2,"ID=gene-MAN1C1;Dbxref=GeneID:57134,HGNC:HGNC:19080,MIM:616772;Name=MAN1C1;description=mannosidase alpha class 1C member 1;gbkey=Gene;gene=MAN1C1;gene_biotype=protein_coding;gene_synonym=HMIC,MAN1A3,MAN1C,pp6318"
5,Homo_sapiens,PDIK1L,1,26092687,+,26111162,26125555,18475,Up,hk2f,hk2,"ID=gene-PDIK1L;Dbxref=GeneID:149420,HGNC:HGNC:18981,MIM:610785;Name=PDIK1L;description=PDLIM1 interacting kinase 1 like;gbkey=Gene;gene=PDIK1L;gene_biotype=protein_coding;gene_synonym=CLIK1L,STK35L2"
37,Homo_sapiens,TRNAU1AP,1,28580502,+,28553085,28578545,1957,Down,slp3f,slp3,"ID=gene-TRNAU1AP;Dbxref=GeneID:54952,HGNC:HGNC:30813,MIM:619597;Name=TRNAU1AP;description=tRNA selenocysteine 1 associated protein 1;gbkey=Gene;gene=TRNAU1AP;gene_biotype=protein_coding;gene_synonym=PRO1902,SECP43,TRSPAP1"
6,Homo_sapiens,EPB41,1,28862805,+,28887100,29120041,24295,Up,pem1f,pem1,"ID=gene-EPB41;Dbxref=GeneID:2035,HGNC:HGNC:3377,MIM:130500;Name=EPB41;description=erythrocyte membrane protein band 4.1;gbkey=Gene;gene=EPB41;gene_biotype=protein_coding;gene_synonym=4.1R,EL1,HE"
48,Homo_sapiens,LAPTM5,1,30767623,-,30757840,30732469,9783,Up,hk2f,hk2,"ID=gene-LAPTM5;Dbxref=GeneID:7805,HGNC:HGNC:29612,MIM:601476;Name=LAPTM5;description=lysosomal protein transmembrane 5;gbkey=Gene;gene=LAPTM5;gene_biotype=protein_coding;gene_synonym=CLAST6"
7,Homo_sapiens,ZCCHC17,1,31274915,+,31297032,31365722,22117,Up,psa1f,psa1,"ID=gene-ZCCHC17;Dbxref=GeneID:51538,HGNC:HGNC:30246;Name=ZCCHC17;description=zinc finger CCHC-type containing 17;gbkey=Gene;gene=ZCCHC17;gene_biotype=protein_coding;gene_synonym=HSPC251,pNO40,PS1D"
49,Homo_sapiens,PHC2,1,33440272,-,33431095,33323626,9177,Up,mvdpf,mvdp,"ID=gene-PHC2;Dbxref=GeneID:1912,HGNC:HGNC:3183,MIM:602979;Name=PHC2;description=polyhomeotic homolog 2;gbkey=Gene;gene=PHC2;gene_biotype=protein_coding;gene_synonym=EDR2,HPH2,PH2"
50,Homo_sapiens,PHC2,1,33442753,-,33431095,33323626,11658,Up,slp3r,slp3,"ID=gene-PHC2;Dbxref=GeneID:1912,HGNC:HGNC:3183,MIM:602979;Name=PHC2;description=polyhomeotic homolog 2;gbkey=Gene;gene=PHC2;gene_biotype=protein_coding;gene_synonym=EDR2,HPH2,PH2"
